,pid,ASIN,product_name,review,rating,img_link
0,0,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,"Reduces acne marks , pimples and makes the skin soft & supple . Moisturize the skin well and can be suitable for all the seasons either summer or winter. Reduces the secretion of oil for more hours. Every oily skin person must have.....",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/710l3pKS5aL.jpg
1,1,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,"I have oily skin and as it is summer , longing for something to stop broke out and give fresh look kind of régime .this is perfect lotion for oily skin girls .love the product.",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71Bsz4TwlxL.jpg
2,2,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,I received the pack unsealedWhy??Nd no return policyProduct seal is already torn,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61A5jgQybAL.jpg,https://images-na.ssl-images-amazon.com/images/I/61VJxpCNEwL.jpg"
3,3,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,It's Working On My Oily FaceThanks Amazon,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71+x4T7uMLL.jpg,https://images-na.ssl-images-amazon.com/images/I/71p4GjF5G3L.jpg"
4,4,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,Looking for moisturizer that gives matte look and keeps tzone oil free? This is the product for you guys. Can be used in winter and summer both. Enough moisture and light on skin. Using it 2 times a day with aroma magic neem and tea tree face wash. Amazing results. Skin feels soft and supple with matte look. Amazing product.NOTE: I used oily skin version for my Tzone Combination skin.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/614vi0kMzKL.jpg,https://images-na.ssl-images-amazon.com/images/I/71SVjk348zL.jpg"
5,5,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,Very nice & genuine product at discount.Very happy with the Amazon service. Always keeps customer satisfaction ahead.Trust built successfully 😅🤝,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61dsE-OqnOL.jpg
6,6,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,"I'm using it over 2-3 months. You can see a little bit difference, but not much. So take as average quality.",3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61cJ4tJ8wBL.jpg,https://images-na.ssl-images-amazon.com/images/I/71U01UK0rSL.jpg"
7,7,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,I am really upset with amazon thid time ....its a fake product ...the colour and aroma was totally different from the one which i already have ... disgusting,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61TqkYQwS1L.jpg
8,8,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,The product seal was not there . Is this a duplicate product . Because I really to return it .it doesnt even have the usual lacto calamine fragrance.,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/710o8jQBpsL.jpg
9,9,B00EH99VY6,Lacto Calamine Face Lotion for Oil Balance - Oily Skin - 120 ml,Very nice product,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71T0fGdn5jL.jpg,https://images-na.ssl-images-amazon.com/images/I/71kNHK4MqRL.jpg,https://images-na.ssl-images-amazon.com/images/I/71wJkemkGCL.jpg"
