,pid,ASIN,product_name,review,rating,img_link
0,0,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml","Best body lotion with spf, i have ever tried.. Makes ur skin healthy and non greasy.Happy to buy it.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71vevM78d9L.jpg
1,1,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Is it original or not? No front level sticker.,3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71GcVcxZaGL.jpg,https://images-na.ssl-images-amazon.com/images/I/71qzXyWxvBL.jpg"
2,2,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Smell really nice...Packaging is low quality..product may damageSeller take precaution it for satisfy customer...,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/712Ivxm4TjL.jpg
3,3,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Fake product.. I think its fevicol.... Fakeeee.... Not satisfied...😡😡😡😡,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71BfgJzHcYL.jpg,https://images-na.ssl-images-amazon.com/images/I/71vzK160sfL.jpg"
4,4,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Great deal 👍,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61f8iRqeINL.jpg
5,5,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Very good product,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/714ReVOjADL.jpg,https://images-na.ssl-images-amazon.com/images/I/71obthY6c7L.jpg"
6,6,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",Very Defective PiceWorst Item On AmazonThe bottle is in very bad conditionThe cap is brokenDo Not buy itCheap smell near expiry productBC,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61C8R8WjDLL.jpg
7,7,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml","Absolutely not hydrating,not for winter.its doesn't do the job of intensive care what the bottle shows.doesnt give any kind of hydration.somewhere I think it's fake product may be for it's aloe vera agent, because it dries out in a second.i don't like perficularly this aloe sooth body lotion.",1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71YxiHV4hJL.jpg
8,8,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml","I have dry skin that needs moisturizer  at all seasons.Even in summer,the AC dehydrates the skin so much that my dry skin is getting scaly with dryness like in winter😳 I needed a very good moisturizer coz my baby's Himalayan baby lotion is so light that it has no affect on my dry adult skin!So I ordered this as I vaguely remember using it once and liking it's fragrance.( I usually order Vaseline lotions for my mom whose fragrances I didn't like much).I received this and it's fragrance didn't disappoint. It's mild and lovely.As for it's moisturizing property,it's working nicely on my dry skin. My skin feels and looks lot better now. But the real litmus test will be in winter,when my very dry skin will tell how good this really is!The ingredients in this lotion includes Tapioca starch; the ingredient used in moisturizers that gives it's non greasy effect. So this lotion really does have a non greasy feeling.I bought this for a deal price of Rs.211. well worth it.Shelf life also very good,expiring in 2021.But I'm giving 4 stars as my initial impression was not good because I received a broken pump,I didn't find the broken part in the package which means it was packed broken and not a transit damage.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61GYLgvxsOL.jpg
9,9,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml", Vaseline is no longer the sticky moist oily cream of the past.It stands to the test of time.This aloe vera flavour is having pleasant mild aroma with sufficient moisturising capacity and smooth less oily appearance at the same time.Buying from Amazon specially in deal time is rewarding.I bought it @ 224/-.Packaging and delivery was standard.Do watch my unboxing video and pictures as well.Recommended purchase.Thank you.,4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61RXWNjbewL.jpg,https://images-na.ssl-images-amazon.com/images/I/61ZqtIZsZIL.jpg,https://images-na.ssl-images-amazon.com/images/I/71-l3dvWiOL.jpg,https://images-na.ssl-images-amazon.com/images/I/71NJqKuBlTL.jpg,https://images-na.ssl-images-amazon.com/images/I/71ecohPu8ZL.jpg"
10,10,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",Product is totally leaked & vaseline is spread in entire packet. Bill was also dipped in vaseline .,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/51x6BFlXPdL.jpg
11,11,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",Received a leaked bottle. Kindly replace it. Also request for a vacuumed packed for leak proofs.  Thanks.,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61g-AL2Tm0L.jpg
12,12,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml","I am really happy with the quantity, quality, and last but not least the price.",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/81ZMpTPJiuL.jpg
13,13,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml","Worst product,thair was no seal,and the worst thing is it's cap was already broken when I open the box.",1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/812SQX42AUL.jpg
14,14,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml","The bottle cap is broken and leaked when delivered  and cannot use with the cap opener as it broken, also the item cannot be returned.Not recommended.",1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71M0ajSf4JL.jpg
15,15,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",Absorbs instantly & effectively moistures,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71tV2aeTnRL.jpg
16,16,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",Received in a damaged state. All the cream leaked and it was spread all over the packing box. Not happy with the item.,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61epwzDRjaL.jpg
17,17,B07W7D8JY7,"Vaseline Intensive Care Aloe Fresh Body Lotion, 400 ml",This product is leaked from top..please change this product as soon as possible..Completely dissatisfied from this product ..also other product are gud..but this one was not..,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61p-S9xtQFL.jpg
18,18,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","I bought a pack of two, comes in a nice packaging.Product is original and helps to restore your body cells also it's lasts for at least 6-7hours honestly.Please guys make sure the neck of bottle and the pump works properly because when i tested it the pump literally came out into my hand.I just suggest you to open it well😬.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71JcE56LZ9L.jpg
19,19,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Superb product...packaging was super safe and nice that's why I love amazon❤ Cuz it never gives a single chance of disappointment to it's customer 👌,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71Kj4r4EuoL.jpg,https://images-na.ssl-images-amazon.com/images/I/71QXw-0vzBL.jpg"
20,20,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",The purpose of using this product is that its smell doesn't irritate me like other body lotions.  It's good but yes you need to moisturize twice a day. It doesn't last that long.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61vZnmQvpSL.jpg,https://images-na.ssl-images-amazon.com/images/I/712gPbM97hL.jpg"
21,21,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Looking for a good moisturiser, This one is great!Intensive care deep restore is a really-really good moisturiser!- Good for both oily and dry skin.- Stays on for more than 24hours, better to use when skin is wet as moisturiser absorbs well and you don’t need much of the product and doesn’t feel greasy.- Leaves your skin moisturised, soft and supple.- Doesn’t even clog the pores and let your skin breath too.-Have a nice and mild smell.-Colour is whitish lemon.- I would really recommend it to those who would live to have a good body moisturiser for all seasons 😊- Is also available in small and big size too.- Time to time you get discounts for upto 10-15% or even more at times when there’s sale.- It’s a unisex product.",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71AzpnM9heL.jpg,https://images-na.ssl-images-amazon.com/images/I/71FInxwQN2L.jpg,https://images-na.ssl-images-amazon.com/images/I/71nFSBZUuwL.jpg"
22,22,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very Good product and moisturize the body for almost 6-7 hours and the smell of this moisturizer is also good and i found this better than any other moisturizer. New design and packing of this product is really awesome.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/614xNF1n6TL.jpg,https://images-na.ssl-images-amazon.com/images/I/615pKetT3jL.jpg,https://images-na.ssl-images-amazon.com/images/I/71P3906LKaL.jpg"
23,23,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","The said product is one of the best and cheap Moisturizer available in market because it is continously used by my family for a long time. It is very familiar to me. Good thing of this moisturizer cream is that it spreads on skin easily due to it's softness, scent is also good and there is no any side effect on skin. It gives relief from dry skin for 3-4 hours in winter and more  during summer. It can be used regularly during all seasons. I purchased it twice from online due to less price than market. Quality of online purchased moisturizer found good and same as market buy.Bad point- Not observed till now. It will be mentioned if found any bad point found in future.",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71425MjxQoL.jpg,https://images-na.ssl-images-amazon.com/images/I/71CMglx+MBL.jpg"
24,24,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Damage product received.Need to replace this product.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/51BvAKjaDJL.jpg,https://images-na.ssl-images-amazon.com/images/I/51m9SgZouML.jpg"
25,25,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Fresh new and original product...I love amazon... 💎✨💕🥰😘New packaging... Easy delevry...It's so good.... 400ml Vaseline body lotion...Intensive care.... Deep restore...Love you amazon...,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/81LNStj8lTL.jpg
26,26,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very nice product.Moisturizes your skin deeply.Good for people with Dry skinI got this for just ₹185 only.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61G0Zbov8WL.jpg,https://images-na.ssl-images-amazon.com/images/I/61R9F415B2L.jpg,https://images-na.ssl-images-amazon.com/images/I/71Y+s18wzTL.jpg"
27,27,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Vaseline body lotions is the best amongst all. It really provide moisturizer through out the day in winters.. It's fragrance is really awesome.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71YKTvR3kBL.jpg
28,28,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Well, I never used Vaseline's body lotions before but I must tell you that not just its fragrance is too good as well as this thick lotion gets absorbed in your body and stays longer than the others.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61ycohYQXIL.jpg
29,29,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",The DISPENSER of one unit is badly broken.  Please share a video on how to use the lotion from a broken bottle.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61+ZOo6j9UL.jpg,https://images-na.ssl-images-amazon.com/images/I/61hhnDgBoHL.jpg,https://images-na.ssl-images-amazon.com/images/I/61xOEgzSbUL.jpg"
30,30,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",One the best moisturiser ever. The scent is very good. Long lasting and not too greasy. Perfect consistency.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/619jHs-9ekL.jpg,https://images-na.ssl-images-amazon.com/images/I/61Jrs9qTFxL.jpg,https://images-na.ssl-images-amazon.com/images/I/61M8oJzLXlL.jpg"
31,31,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Good product and cost is very lower then all market,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/717n2Un5zkL.jpg,https://images-na.ssl-images-amazon.com/images/I/71pSQjs3O0L.jpg"
32,32,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Good Product overall.#Longlastisng#Deep Moisturizing#Scent#Value For MoneyRating 8.5/10,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61e2QZ8iEeL.jpg,https://images-na.ssl-images-amazon.com/images/I/71ea0kUcY8L.jpg"
