,pid,ASIN,product_name,review,rating,img_link,skin_type,img_files,product_link,product_img
0,0,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Just want to let everyone know that the cerave lotion on the left is one I bought from cvs, and the one on the right is the large one from amazon, and you can clearly see that they put hyaluronic acid lower on the list for the amazon one, vs the cvs one. And just in case you don't know, ingredients for any products go in order from the greatest amounts first, and descend to lower amounts as you go down the list. The cvs one has hyaluronic acid much higher on the list, and the packaging looks completely different too! Like, why?? Does cerave make a cheaper version of their products for amazon, vs other retailers?? And that is just really annoying, aggravating, and upsetting to me. Why water it down to buy it for a cheaper price? No one wants that. Everyone wants to get what they pay for. For sure, the one from cvs was much pricier ($17) for the smaller bottle size, while the amazon one was like, $12 when I got it for the large, 19 oz one. But I just want to say that I KNOW what I'm paying for!! If its a cheaper price for a more watered down product, I'm not going to get it!! Just leave the products the way that they are. And I have to say that yes, the textures between them were NOTICEABLY different! The one from cvs was definitely more opaque and creamier, while as soon as I got the amazon one, I immediately immediately noticed, without a doubt, a more watery consistency. Um, barf. Never going to buy this product from amazon again because of how they're so blatantly cheating! I'll just put my money in something else",2.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71jPQctKGsL.jpg,oily,oily_B07RK4HST7_pid0_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
1,1,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Before i get into my novel of a review, here’s the summary of what i think. I came across this while looking for a lotion that works best for Non-oily skin, a daily lotion, for sensitive-ish skin, i found the PERFECT one with this.I bought this about 2 weeks ago, was shipped in 2 days, & when i received it nothing was wrong with the packaging or bottle. Anyways, I started using this after i decided to switch from my Neutrogena Oil-Free Moisture which i had been using for about 6 months. I do not have naturally Oily Skin so it was too drying. But with maaaaany hours spent looking for a FACE lotion with good reviews I came across this and let me just say IT IS WORTH THE MONEY, I am in love! works for face and body which i was skeptical about at first but i do not regret my purchase at all and i highly highly reccomend anyone purchase this. My skin is a little sensitive mainly to perfumes (especially my face) & this is amazing!!! no breakouts, no rash, I will use this forever!",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61k3CEXiieL.jpg,https://images-na.ssl-images-amazon.com/images/I/717C+cYz9OL.jpg,https://images-na.ssl-images-amazon.com/images/I/71am8OWhOAL.jpg",oily,"oily_B07RK4HST7_pid1_0,oily_B07RK4HST7_pid1_1,oily_B07RK4HST7_pid1_2",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
2,2,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"My skin is relatively sensitive. Over the years I’ve gone through a number of lotions, searching for one that keeps my skin hydrated without any side effects (breakouts, rashes, etc). I’ve been using this daily moisturizer for a few weeks now and it’s worked out very well so far. I only have to apply once in the morning and my skin feels moisturized throughout the day. I guess that’s the hyaluronic acid doing it’s job.This lotion is lightweight and doesn’t leave me feeling greasy. It also doesn’t have much of a scent which I count as a plus. Best of all my skin isn’t breaking out or changing in any negative way.Although this product is touted as face and body lotion I have yet to use it on my face. That being said, it has worked very well for me as a go-to body lotion.",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71swolqQWZL.jpg,oily,oily_B07RK4HST7_pid2_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
3,3,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,I really like this product. When I put on is very comfortable and smoothBut when i received this product are leaking out in the plastic bag.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71eyMX+ovcL.jpg,oily,oily_B07RK4HST7_pid3_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
4,4,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Love the lotion but am so disappointed in the way it arrived. The pump was busted and broken, the lotion was all over the package.",2.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/712M+BVGQEL.jpg,https://images-na.ssl-images-amazon.com/images/I/713qvVfVlwL.jpg,https://images-na.ssl-images-amazon.com/images/I/71Aw3LldmPL.jpg,https://images-na.ssl-images-amazon.com/images/I/71chEg+8ErL.jpg,https://images-na.ssl-images-amazon.com/images/I/71rJkZnyvHL.jpg",oily,"oily_B07RK4HST7_pid4_0,oily_B07RK4HST7_pid4_1,oily_B07RK4HST7_pid4_2,oily_B07RK4HST7_pid4_3,oily_B07RK4HST7_pid4_4",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
5,5,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,This is my absolute favorite moisturizer. It helps so much with dry patches during the winter time and even during the summer time it doesn't clog my pores or make you break out. It's such a great value I end up buying this versus the a.m. and p.m. because it's such a good value for the side and the money. I use this year round on my chest neck and face and I don't have any breakouts from it. I also love this because it's so easy to get and hardly ever out of stock. It's fragrance-free so it's good if you have sensitive skin and also my dermatologist recommended highly,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71Qvj7Z0I8L.jpg,oily,oily_B07RK4HST7_pid5_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
6,6,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Despite being open when I received it, I love this lotion. On the body it absorbs very quickly. On hands, less quickly. On face, even less quickly. But it's gentle, and truly not scented at all.  I love this stuff.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71+CpEOdMrL.jpg,oily,oily_B07RK4HST7_pid6_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
7,7,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,It arrived broken but still usable.It works ok on my skin but after 30 minutes maybe an hr my skin feels dry again. I can tell it’s improved my skin though. I really like gold bond diabetics lotion seems to really keep you moisturized.,4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61agdZIP3ZL.jpg,https://images-na.ssl-images-amazon.com/images/I/61sxibl6oWL.jpg",oily,"oily_B07RK4HST7_pid7_0,oily_B07RK4HST7_pid7_1",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
8,8,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"I have super sensitive skin and really bad acne. If you have dry, normal, or combination skin, this moisturizer is the one for you(they have other formulas for oily skin). This moisturizer works like a charm and has actually been helping me clear out my skin. It’s not too heavy and not too light. Highly recommend and I will purchase again.",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61NnZo0m1FL.jpg,oily,oily_B07RK4HST7_pid8_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
9,9,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Item was unprotected , anyone could open it before me , Cant use ... I payed money for nothing , thank you :)For future  use little extra money for protect your product pls <3",1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/716JqTcqPZL.jpg,https://images-na.ssl-images-amazon.com/images/I/71JAr8kA5-L.jpg",oily,"oily_B07RK4HST7_pid9_0,oily_B07RK4HST7_pid9_1",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592511881&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
