,pid,ASIN,product_name,review,rating,img_link,skin_type,img_files,product_link,product_img
0,0,B001G7PLZ0,"Olay Quench Body Lotion Ultra Moisture with Shea Butter and Vitamins E and B3, 20.2 oz (Pack of 2)",It wort the long wait. This as being my moisturizer for a while love it.Recommend,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61ddUWkcbdL.jpg,dry,dry_B001G7PLZ0_pid0_0,https://www.amazon.com/Olay-Quench-Lotion-Moisture-Vitamins/dp/B001G7PLZ0/ref=sr_1_1?dchild=1&keywords=B001G7PLZ0&qid=1592563710&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/510nHCmT6DL._AC_SL1113_.jpg
1,1,B001G7PLZ0,"Olay Quench Body Lotion Ultra Moisture with Shea Butter and Vitamins E and B3, 20.2 oz (Pack of 2)",Arrived broken! Bag tore open and tops broke off and missing!,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/616qdrtcZTL.jpg,dry,dry_B001G7PLZ0_pid1_0,https://www.amazon.com/Olay-Quench-Lotion-Moisture-Vitamins/dp/B001G7PLZ0/ref=sr_1_1?dchild=1&keywords=B001G7PLZ0&qid=1592563710&sr=8-2,https://images-na.ssl-images-amazon.com/images/I/510nHCmT6DL._AC_SL1113_.jpg
2,2,B001G7PLZ0,"Olay Quench Body Lotion Ultra Moisture with Shea Butter and Vitamins E and B3, 20.2 oz (Pack of 2)","This used to be a nice lotion, now it smells really strong. The new strongly scented bottles seem to come with a purple top/pump, where the old extremely light scented one had a white top/pump.",1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71T8gvQTDwL.jpg,https://images-na.ssl-images-amazon.com/images/I/71T8gvQTDwL.jpg",dry,"dry_B001G7PLZ0_pid2_0,dry_B001G7PLZ0_pid2_1",https://www.amazon.com/Olay-Quench-Lotion-Moisture-Vitamins/dp/B001G7PLZ0/ref=sr_1_1?dchild=1&keywords=B001G7PLZ0&qid=1592563710&sr=8-3,https://images-na.ssl-images-amazon.com/images/I/510nHCmT6DL._AC_SL1113_.jpg
3,3,B001G7PLZ0,"Olay Quench Body Lotion Ultra Moisture with Shea Butter and Vitamins E and B3, 20.2 oz (Pack of 2)",Bottle caps were lose and lotion had leaked from both bottles. Will not order this item again by mail. Product is excellent but delivery by mail is awful.,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71FQb8XFxdL.jpg,dry,dry_B001G7PLZ0_pid3_0,https://www.amazon.com/Olay-Quench-Lotion-Moisture-Vitamins/dp/B001G7PLZ0/ref=sr_1_1?dchild=1&keywords=B001G7PLZ0&qid=1592563710&sr=8-4,https://images-na.ssl-images-amazon.com/images/I/510nHCmT6DL._AC_SL1113_.jpg
4,4,B001G7PLZ0,"Olay Quench Body Lotion Ultra Moisture with Shea Butter and Vitamins E and B3, 20.2 oz (Pack of 2)",I am very happy to continue shopping next time.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71AAaE64WwL.jpg,dry,dry_B001G7PLZ0_pid4_0,https://www.amazon.com/Olay-Quench-Lotion-Moisture-Vitamins/dp/B001G7PLZ0/ref=sr_1_1?dchild=1&keywords=B001G7PLZ0&qid=1592563710&sr=8-5,https://images-na.ssl-images-amazon.com/images/I/510nHCmT6DL._AC_SL1113_.jpg
5,5,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Just want to let everyone know that the cerave lotion on the left is one I bought from cvs, and the one on the right is the large one from amazon, and you can clearly see that they put hyaluronic acid lower on the list for the amazon one, vs the cvs one. And just in case you don't know, ingredients for any products go in order from the greatest amounts first, and descend to lower amounts as you go down the list. The cvs one has hyaluronic acid much higher on the list, and the packaging looks completely different too! Like, why?? Does cerave make a cheaper version of their products for amazon, vs other retailers?? And that is just really annoying, aggravating, and upsetting to me. Why water it down to buy it for a cheaper price? No one wants that. Everyone wants to get what they pay for. For sure, the one from cvs was much pricier ($17) for the smaller bottle size, while the amazon one was like, $12 when I got it for the large, 19 oz one. But I just want to say that I KNOW what I'm paying for!! If its a cheaper price for a more watered down product, I'm not going to get it!! Just leave the products the way that they are. And I have to say that yes, the textures between them were NOTICEABLY different! The one from cvs was definitely more opaque and creamier, while as soon as I got the amazon one, I immediately immediately noticed, without a doubt, a more watery consistency. Um, barf. Never going to buy this product from amazon again because of how they're so blatantly cheating! I'll just put my money in something else",2.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71jPQctKGsL.jpg,dry,dry_B07RK4HST7_pid5_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592563721&sr=8-1,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
6,6,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Before i get into my novel of a review, here’s the summary of what i think. I came across this while looking for a lotion that works best for Non-oily skin, a daily lotion, for sensitive-ish skin, i found the PERFECT one with this.I bought this about 2 weeks ago, was shipped in 2 days, & when i received it nothing was wrong with the packaging or bottle. Anyways, I started using this after i decided to switch from my Neutrogena Oil-Free Moisture which i had been using for about 6 months. I do not have naturally Oily Skin so it was too drying. But with maaaaany hours spent looking for a FACE lotion with good reviews I came across this and let me just say IT IS WORTH THE MONEY, I am in love! works for face and body which i was skeptical about at first but i do not regret my purchase at all and i highly highly reccomend anyone purchase this. My skin is a little sensitive mainly to perfumes (especially my face) & this is amazing!!! no breakouts, no rash, I will use this forever!",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61k3CEXiieL.jpg,https://images-na.ssl-images-amazon.com/images/I/717C+cYz9OL.jpg,https://images-na.ssl-images-amazon.com/images/I/71am8OWhOAL.jpg",dry,"dry_B07RK4HST7_pid6_0,dry_B07RK4HST7_pid6_1,dry_B07RK4HST7_pid6_2",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592563721&sr=8-2,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
7,7,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"My skin is relatively sensitive. Over the years I’ve gone through a number of lotions, searching for one that keeps my skin hydrated without any side effects (breakouts, rashes, etc). I’ve been using this daily moisturizer for a few weeks now and it’s worked out very well so far. I only have to apply once in the morning and my skin feels moisturized throughout the day. I guess that’s the hyaluronic acid doing it’s job.This lotion is lightweight and doesn’t leave me feeling greasy. It also doesn’t have much of a scent which I count as a plus. Best of all my skin isn’t breaking out or changing in any negative way.Although this product is touted as face and body lotion I have yet to use it on my face. That being said, it has worked very well for me as a go-to body lotion.",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71swolqQWZL.jpg,dry,dry_B07RK4HST7_pid7_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592563721&sr=8-3,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
8,8,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,I really like this product. When I put on is very comfortable and smoothBut when i received this product are leaking out in the plastic bag.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71eyMX+ovcL.jpg,dry,dry_B07RK4HST7_pid8_0,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592563721&sr=8-4,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
9,9,B07RK4HST7,CeraVe Daily Moisturizing Lotion | 19 Ounce | Face & Body Lotion for Dry Skin with Hyaluronic Acid | Fragrance Free,"Love the lotion but am so disappointed in the way it arrived. The pump was busted and broken, the lotion was all over the package.",2.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/712M+BVGQEL.jpg,https://images-na.ssl-images-amazon.com/images/I/713qvVfVlwL.jpg,https://images-na.ssl-images-amazon.com/images/I/71Aw3LldmPL.jpg,https://images-na.ssl-images-amazon.com/images/I/71chEg+8ErL.jpg,https://images-na.ssl-images-amazon.com/images/I/71rJkZnyvHL.jpg",dry,"dry_B07RK4HST7_pid9_0,dry_B07RK4HST7_pid9_1,dry_B07RK4HST7_pid9_2,dry_B07RK4HST7_pid9_3,dry_B07RK4HST7_pid9_4",https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=sr_1_1?dchild=1&keywords=B07RK4HST7&qid=1592563721&sr=8-5,https://images-na.ssl-images-amazon.com/images/I/51YT4dO6bfL._SL1000_.jpg
